del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_10 c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_len
-0.00022 0.00057 8.00000 0.00122 0.92056 4.00000 0.00062 388.00000 559.70000 595.20000 645.60000 718.50000 1212.33333 786.90000 1040.60000 1326.30000 2241.20000 2530.00000 10911.00000 707.75861 0.00000 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 0.00000 0.00000 0.00000 0.06236 0.62289 0.00076 42.00000 0.62289 52.88989 85.89533 111.26504 155.15823 558.06814 584.34790 612.15936 682.79617 787.47014 1023.00246 1169.79992 42512.34446 282.11995 1.00038 0.99600 0.99165 0.99165 0.98733 0.98733 0.98303 0.98303 0.97877 31.10000
-0.00003 0.00035 12.00000 0.00184 0.88083 4.00000 0.00090 517.60000 559.70000 606.40000 659.70000 746.50000 1875.37234 795.60000 1040.60000 1326.30000 2241.20000 89308.00000 176285.00000 9162.48069 0.00000 0.00000 0.00000 0.00000 0.00000 0.00026 0.00000 0.00000 0.00000 0.00000 0.13655 9.11874 0.00385 383.00000 9.11186 231.68140 339.85858 438.15917 505.99124 575.23368 590.44923 632.77455 701.64251 831.15422 1081.15754 1328.93464 4892160.62133 292.73021 0.99967 0.99335 0.98708 0.98708 0.98086 0.98086 0.97469 0.97469 0.96857 26.20000
0.00000 0.00032 16.00000 0.00274 0.84111 4.00000 0.00064 388.00000 550.00000 606.40000 659.70000 746.50000 1589.96078 795.60000 903.80000 1065.30000 1491.80000 81224.00000 162176.00000 8012.24270 0.00000 0.00000 0.00000 0.00000 0.00000 0.00023 0.00000 0.00000 0.00000 0.00000 0.13319 8.10816 0.00358 344.00000 8.10543 243.37196 346.45883 438.44090 520.42870 588.59205 607.55493 664.47058 756.68562 980.22198 1131.58862 1323.87871 5311245.19463 327.02652 1.00014 0.99550 0.99091 0.99091 0.98635 0.98635 0.98183 0.98183 0.97734 31.20000
-0.00004 0.00032 20.00000 0.00338 0.80139 4.00000 0.00034 56.20000 514.00000 575.50000 610.00000 656.00000 1589.96078 731.00000 835.00000 971.00000 1309.80000 81224.00000 162176.00000 8012.24270 0.00000 0.00000 0.00000 0.00000 0.00000 0.00023 0.00000 0.00000 0.00000 0.00000 0.13319 8.10816 0.00358 344.00000 8.10543 247.02627 349.36062 443.01671 520.56133 588.59205 634.90232 657.38529 750.96193 954.56902 1163.31799 1323.87871 6159822.33551 320.28987 1.00002 0.99526 0.99054 0.99054 0.98585 0.98585 0.98119 0.98119 0.97657 30.00000
0.00000 0.00028 24.00000 0.00373 0.76167 4.00000 0.00042 56.20000 514.00000 575.50000 610.00000 656.00000 1575.13115 704.60000 767.20000 959.60000 1309.80000 64220.00000 144076.00000 6445.71670 0.00000 0.00000 0.00000 0.00000 0.00000 0.00021 0.00000 0.00000 0.00000 0.00000 0.12898 7.25512 0.00325 324.00000 7.25324 247.02627 349.36062 443.01671 521.55285 589.89735 638.40784 664.47058 756.68562 980.22198 1163.31799 1318.14002 6159822.33551 325.55322 1.00006 0.99497 0.98993 0.98993 0.98493 0.98493 0.97997 0.97997 0.97505 29.25000
-0.00005 0.00028 28.00000 0.00415 0.72195 4.00000 0.00033 56.20000 514.00000 558.80000 610.00000 645.00000 1455.31313 697.20000 767.20000 931.30000 1304.00000 64220.00000 144076.00000 5631.90569 0.00000 0.00000 0.00000 0.00000 0.00000 0.00021 0.00000 0.00000 0.00000 0.00000 0.12898 7.25512 0.00325 324.00000 7.25324 244.48510 349.36062 443.01671 521.55285 589.89735 634.90232 657.38529 750.96193 954.56902 1121.48314 1318.14002 6159822.33551 320.28987 1.00001 0.99232 0.98472 0.98472 0.97723 0.97723 0.96982 0.96982 0.96251 26.40000
0.00012 0.00023 32.00000 0.00448 0.68222 4.00000 0.00031 42.80000 508.90000 549.00000 592.60000 654.00000 1177.81818 704.60000 792.40000 948.00000 1343.60000 44285.00000 116604.00000 5157.93980 0.00000 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 0.00000 0.00000 0.00000 0.10452 5.58386 0.00257 274.00000 5.58125 244.48510 346.31293 439.26151 516.24314 590.43186 646.51260 669.28814 795.54042 997.38342 1121.48314 1321.62659 6272465.28210 325.55322 0.99995 0.99392 0.98794 0.98794 0.98202 0.98202 0.97614 0.97614 0.97032 27.40000
-0.00012 0.00035 36.00000 0.00479 0.64250 4.00000 0.00062 40.00000 238.40000 545.80000 592.60000 654.00000 1113.15640 719.80000 793.00000 948.00000 1294.60000 42411.00000 178360.00000 4122.04753 0.00000 0.00000 0.00000 0.00000 0.00000 0.00019 0.00000 0.00000 0.00000 0.00000 0.10924 6.68497 0.00282 331.00000 6.67996 202.80540 287.98018 366.80567 447.89191 538.70933 613.50284 630.90802 745.90777 997.38342 1187.58869 1329.93777 19547427.40686 331.18012 1.00000 0.99275 0.98559 0.98559 0.97851 0.97851 0.97151 0.97151 0.96459 26.40000
-0.00003 0.00023 40.00000 0.00541 0.60278 4.00000 0.00056 42.80000 508.90000 549.00000 593.00000 659.00000 1092.77778 725.00000 797.50000 948.00000 1260.00000 41204.00000 116604.00000 3233.25589 0.00000 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 0.00000 0.00000 0.00000 0.10401 5.58386 0.00257 274.00000 5.58125 247.99506 346.31293 439.26151 516.24314 590.43186 646.51260 669.28814 795.54042 1002.85734 1187.58869 1330.46494 6272465.28210 331.18012 1.00004 0.99336 0.98676 0.98676 0.98021 0.98021 0.97373 0.97373 0.96731 26.50000
-0.00001 0.00020 44.00000 0.00597 0.56306 4.00000 0.00019 345.00000 524.70000 565.80000 607.20000 659.00000 1092.77778 725.00000 801.80000 980.80000 1260.00000 24560.00000 103254.00000 2622.39314 0.00000 0.00000 0.00000 0.00000 0.00000 0.00013 0.00000 0.00000 0.00000 0.00000 0.08466 4.73828 0.00214 290.00000 4.73737 229.97995 349.77025 442.38817 524.74437 597.37214 650.64735 685.82596 813.52382 1035.68040 1165.86961 1331.63527 5676509.69788 338.09577 1.00000 0.99163 0.98337 0.98337 0.97521 0.97521 0.96716 0.96716 0.95920 25.40000
