del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_10 c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_len
0.00000 0.00003 17.19438 0.00110 0.92466 7.81250 0.00040 52.80000 55.00000 67.40000 80.80000 86.00000 185.66667 95.90000 129.00000 204.70000 319.20000 1343.00000 6127.00000 258.13740 0.00000 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 0.00000 0.00000 0.00000 0.02270 0.39912 0.00046 91.00000 0.39912 206.67417 259.93615 313.88326 365.33065 412.71724 442.47197 450.33220 531.21616 624.41542 742.09434 1093.67001 424849.10816 205.26920 1.00006 0.98974 0.97955 0.97955 0.96951 0.96951 0.95959 0.95959 0.94981 23.85000
0.00001 0.00003 25.00688 0.00150 0.89042 7.81250 0.00020 53.80000 59.70000 75.00000 83.90000 96.00000 207.61290 108.40000 133.20000 204.70000 389.20000 2356.00000 6436.00000 413.98532 0.00000 0.00000 0.00000 0.00000 0.00000 0.00003 0.00000 0.00000 0.00000 0.00000 0.02333 0.41688 0.00048 91.00000 0.41688 206.67417 259.93615 313.88326 365.33065 412.71724 442.47197 450.33220 531.21616 624.41542 742.32999 1093.67001 424849.10816 205.86918 1.00037 0.99290 0.98550 0.98550 0.97817 0.97817 0.97090 0.97090 0.96369 25.00000
0.00000 0.00004 32.81938 0.00170 0.85619 7.81250 0.00030 55.40000 59.70000 75.00000 83.90000 94.00000 254.00000 108.40000 131.00000 204.10000 389.20000 3318.00000 8258.00000 599.54669 0.00000 0.00000 0.00000 0.00000 0.00000 0.00003 0.00000 0.00000 0.00000 0.00000 0.02959 0.51758 0.00063 96.00000 0.51758 211.59058 259.93615 313.88326 365.33065 412.71724 442.47197 450.33220 531.21616 624.41542 742.32999 1093.47253 467250.39932 205.86918 1.00090 0.99473 0.98861 0.98861 0.98254 0.98254 0.97651 0.97651 0.97053 26.40000
0.00000 0.00004 40.63188 0.00200 0.82196 7.81250 0.00050 56.00000 61.90000 75.00000 83.90000 94.00000 266.38710 108.40000 131.00000 204.10000 389.20000 3450.00000 8890.00000 610.70056 0.00000 0.00000 0.00000 0.00000 0.00000 0.00003 0.00000 0.00000 0.00000 0.00000 0.03072 0.56293 0.00065 104.00000 0.56293 203.79992 251.77363 304.85325 361.90967 410.90306 440.20355 463.06189 534.46046 625.38017 742.32999 1085.68364 537141.87005 205.86918 1.00016 0.99304 0.98599 0.98599 0.97902 0.97902 0.97212 0.97212 0.96529 26.20000
0.00000 0.00004 48.44438 0.00250 0.78773 7.81250 0.00070 56.00000 61.90000 74.20000 80.20000 91.00000 262.44737 110.50000 131.00000 189.80000 393.70000 3691.00000 9973.00000 626.95867 0.00000 0.00000 0.00000 0.00000 0.00000 0.00004 0.00000 0.00000 0.00000 0.00000 0.03118 0.62830 0.00072 104.00000 0.62830 204.21332 254.34254 304.85325 361.90967 410.90306 440.24600 463.06189 534.46046 625.38017 743.98410 1093.47253 618985.87573 208.18987 1.00063 0.99533 0.99007 0.99007 0.98486 0.98486 0.97968 0.97968 0.97455 28.40000
-0.00000 0.00004 56.25688 0.00320 0.75349 7.81250 0.00020 56.40000 61.90000 74.20000 80.20000 91.00000 268.46154 105.20000 130.80000 239.90000 399.40000 4060.00000 9973.00000 668.70865 0.00000 0.00000 0.00000 0.00000 0.00000 0.00004 0.00000 0.00000 0.00000 0.00000 0.03198 0.62830 0.00072 103.00000 0.62830 203.79992 251.77363 304.46288 357.04707 403.85631 440.20355 459.76581 533.73186 619.66156 738.09508 1085.68364 618985.87573 204.24164 1.00001 0.99277 0.98562 0.98562 0.97856 0.97856 0.97158 0.97158 0.96468 27.15000
0.00000 0.00004 64.06938 0.00340 0.71926 7.81250 0.00030 56.20000 62.40000 76.40000 86.40000 91.00000 300.51515 110.50000 150.10000 226.30000 483.00000 4295.00000 9917.00000 751.37641 0.00000 0.00000 0.00000 0.00000 0.00000 0.00004 0.00000 0.00000 0.00000 0.00000 0.03283 0.62830 0.00074 97.00000 0.62830 200.21726 249.79264 298.16136 346.65487 391.30000 431.92491 446.70349 517.94066 613.61630 731.75681 1085.58482 456112.70207 206.49009 1.00046 0.99620 0.99196 0.99196 0.98775 0.98775 0.98356 0.98356 0.97940 29.65000
0.00000 0.00004 71.88188 0.00370 0.68503 7.81250 0.00040 56.20000 63.80000 78.00000 87.70000 96.00000 300.51515 113.90000 146.00000 226.30000 483.00000 4298.00000 9917.00000 751.37641 0.00000 0.00000 0.00000 0.00000 0.00000 0.00004 0.00000 0.00000 0.00000 0.00000 0.03198 0.62853 0.00075 97.00000 0.62853 198.81805 247.26321 297.39344 346.65487 391.30000 425.97665 444.91814 507.24023 598.29265 710.62601 1085.58482 456112.70207 200.65460 1.00046 0.99415 0.98789 0.98789 0.98168 0.98168 0.97553 0.97553 0.96942 26.40000
0.00001 0.00005 79.69438 0.00410 0.65079 7.81250 0.00030 54.00000 63.80000 76.40000 87.70000 96.00000 286.75676 113.90000 146.00000 208.90000 428.00000 4374.00000 10610.00000 743.23349 0.00000 0.00000 0.00000 0.00000 0.00000 0.00004 0.00000 0.00000 0.00000 0.00000 0.03237 0.67279 0.00077 103.00000 0.67279 200.21726 249.58348 298.16136 350.88041 394.23557 431.92491 446.70349 517.94066 613.61630 731.75681 1093.54414 567400.90163 206.49009 1.00008 0.99258 0.98516 0.98516 0.97782 0.97782 0.97057 0.97057 0.96339 25.85000
0.00000 0.00006 87.50688 0.00440 0.61656 7.81250 0.00010 54.00000 63.80000 74.00000 86.50000 93.00000 282.97778 112.80000 146.00000 201.80000 318.80000 4374.00000 12717.00000 693.82135 0.00000 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 0.00000 0.00000 0.00000 0.03169 0.79062 0.00080 134.00000 0.79062 198.71829 249.58348 305.61899 371.10036 431.69287 455.05627 475.30947 553.35698 660.89069 764.00537 1093.54414 901011.41882 218.15232 0.99996 0.99454 0.98917 0.98917 0.98385 0.98385 0.97857 0.97857 0.97333 28.95000
