del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_100 c_len
0.00000 0.00106 23.67190 0.00144 0.88480 7.81250 0.00035 53.00000 60.00000 71.00000 78.00000 89.00000 1215.96567 104.50000 128.20000 167.90000 322.00000 144571.00000 283320.00000 10547.92690 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.75512 18.09519 0.01576 455.00000 18.05058 194.16550 281.99566 354.66149 415.91716 472.55917 509.35411 538.68766 619.22236 741.43215 890.07317 1247.13264 25671447.37302 256.37089 0.99937 0.99564 0.99193 0.99193 0.98823 0.98823 0.98455 0.98455 0.98088 30.05000 
-0.00002 0.00106 31.48440 0.00179 0.84678 7.81250 0.00023 56.00000 61.00000 71.00000 81.00000 91.00000 1249.06926 105.10000 128.20000 183.40000 360.60000 145533.00000 287872.00000 10547.92690 0.00000 0.00000 0.00000 0.00000 0.00000 0.00092 0.00000 0.00000 0.00000 0.00000 0.75512 18.23612 0.01576 455.00000 18.18832 194.52341 282.63514 356.36649 420.03814 478.51068 514.95767 542.18891 623.42078 757.26571 903.77448 1247.97529 27359700.95775 260.82901 0.99924 0.99553 0.99184 0.99184 0.98816 0.98816 0.98451 0.98451 0.98087 30.40000 
0.00001 0.00104 39.29690 0.00202 0.80876 7.81250 0.00032 56.00000 61.00000 70.00000 81.00000 91.00000 1215.96567 105.10000 123.80000 183.40000 336.50000 145533.00000 283320.00000 10539.33624 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.75512 18.09519 0.01574 453.00000 18.05058 194.66553 282.93934 356.54518 420.07488 478.64568 517.81325 545.78856 628.57690 757.26571 908.22371 1247.93927 28177414.04947 261.23210 0.99923 0.99551 0.99180 0.99180 0.98811 0.98811 0.98444 0.98444 0.98078 30.05000 
-0.00004 0.00105 47.10940 0.00234 0.77074 7.81250 0.00028 55.00000 61.00000 69.00000 77.30000 89.00000 1229.35345 104.70000 123.00000 184.90000 360.60000 139905.00000 285210.00000 10257.90337 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.74442 18.07311 0.01574 447.00000 18.02555 194.52341 284.10335 357.39201 421.24190 478.64568 516.81659 544.97649 625.45835 757.26571 908.15925 1248.36324 27697234.69625 261.23210 0.99948 0.99546 0.99145 0.99145 0.98746 0.98746 0.98349 0.98349 0.97954 29.25000 
0.00004 0.00101 54.92190 0.00263 0.73272 7.81250 0.00018 55.00000 61.00000 69.00000 77.30000 89.00000 1174.55411 104.70000 123.00000 191.70000 425.40000 134562.00000 273439.00000 9839.01130 0.00000 0.00000 0.00000 0.00000 0.00000 0.00087 0.00000 0.00000 0.00000 0.00000 0.74630 17.26610 0.01512 444.00000 17.21933 194.86669 284.10335 357.59347 421.24190 478.86923 517.81325 545.78856 628.57690 758.86254 908.22371 1247.93927 27697234.69625 262.80143 0.99957 0.99554 0.99154 0.99154 0.98755 0.98755 0.98358 0.98358 0.97963 29.30000 
0.00000 0.00105 62.73440 0.00280 0.69470 7.81250 0.00028 56.60000 63.00000 71.80000 82.90000 96.00000 1229.35345 108.20000 134.30000 205.60000 425.40000 139905.00000 285210.00000 10257.90337 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.74442 18.07311 0.01586 444.00000 18.02555 194.86669 284.10335 357.59347 421.90089 479.81292 518.20786 546.58973 629.86646 763.30638 909.84396 1247.76472 27532383.37258 263.03616 0.99914 0.99527 0.99141 0.99141 0.98758 0.98758 0.98376 0.98376 0.97996 29.70000 
0.00000 0.00105 70.54690 0.00308 0.65668 7.81250 0.00028 56.80000 63.00000 71.80000 83.00000 96.00000 1282.27354 108.30000 137.20000 205.60000 373.20000 139624.00000 285947.00000 10401.39060 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.71353 18.13183 0.01584 444.00000 18.09086 194.86669 283.30108 357.59347 421.22015 479.81292 518.20786 546.58973 629.86646 763.30638 909.84396 1247.22015 27058083.57866 263.03616 0.99915 0.99527 0.99141 0.99141 0.98756 0.98756 0.98373 0.98373 0.97992 29.65000 
-0.00001 0.00105 78.35940 0.00336 0.61866 7.81250 0.00018 56.80000 63.00000 70.20000 83.00000 93.00000 1282.27354 108.30000 134.30000 192.00000 364.30000 146157.00000 285947.00000 10542.71150 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.71353 18.13183 0.01584 444.00000 18.09086 194.31091 281.36309 356.19614 420.48483 478.51070 513.56835 541.58014 620.08908 744.15317 903.08886 1247.43056 26814430.74581 260.77175 0.99922 0.99523 0.99127 0.99127 0.98733 0.98733 0.98340 0.98340 0.97949 29.45000 
0.00000 0.00104 86.17190 0.00354 0.58064 7.81250 0.00027 55.00000 62.10000 70.00000 80.10000 92.50000 1239.74672 107.30000 130.10000 191.50000 373.20000 139624.00000 283902.00000 10401.39060 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.76986 17.99613 0.01562 446.00000 17.95232 194.31091 281.36309 356.19614 420.48483 478.51070 513.56835 541.58014 620.08908 744.15317 903.08886 1247.24195 26814430.74581 260.77175 0.99891 0.99513 0.99138 0.99138 0.98764 0.98764 0.98391 0.98391 0.98021 30.00000 
-0.00007 0.00104 93.98440 0.00381 0.54262 3.12500 -0.00009 55.00000 61.00000 70.00000 79.40000 89.00000 1236.44255 104.90000 122.80000 184.00000 353.20000 146157.00000 283902.00000 10542.71150 0.00000 0.00000 0.00000 0.00000 0.00000 0.00091 0.00000 0.00000 0.00000 0.00000 0.77082 17.99613 0.01562 453.00000 17.95232 196.21406 285.93173 358.98408 421.49512 480.45238 516.44168 544.37042 621.94538 750.97871 907.62487 1247.24195 28399127.97658 260.77175 0.99878 0.99500 0.99124 0.99124 0.98749 0.98749 0.98376 0.98376 0.98005 30.00000 
0.00002 0.00098 97.10940 0.00371 0.52741 3.12500 0.00012 55.00000 61.10000 70.00000 79.00000 89.00000 1138.60086 105.30000 130.10000 186.60000 386.60000 136245.00000 265294.00000 9596.95008 0.00000 0.00000 0.00000 0.00000 0.00000 0.00084 0.00000 0.00000 0.00000 0.00000 0.77082 16.74898 0.01515 461.00000 16.70795 196.21406 285.93173 358.98408 421.49512 480.45238 517.50925 544.86985 631.57360 761.75956 910.47526 1247.24195 28399127.97658 262.04445 0.99916 0.99539 0.99164 0.99164 0.98791 0.98791 0.98419 0.98419 0.98049 30.25000 
-0.00002 0.00099 100.23440 0.00384 0.51220 3.12500 0.00015 55.00000 61.00000 70.00000 78.00000 89.00000 1138.60086 105.30000 133.60000 186.60000 378.80000 142876.00000 270447.00000 9804.79651 0.00000 0.00000 0.00000 0.00000 0.00000 0.00086 0.00000 0.00000 0.00000 0.00000 0.75785 17.15231 0.01512 461.00000 17.10492 195.65759 283.81428 355.97120 418.73425 478.13543 516.44168 544.37042 621.94538 750.97871 907.62487 1247.09696 28399127.97658 260.48999 0.99909 0.99506 0.99106 0.99106 0.98707 0.98707 0.98311 0.98311 0.97916 29.40000 
0.00002 0.00098 103.35940 0.00399 0.49700 3.12500 0.00013 55.00000 60.00000 67.90000 79.00000 92.00000 1111.71008 105.70000 141.00000 199.50000 386.60000 132615.00000 265294.00000 9497.20402 0.00000 0.00000 0.00000 0.00000 0.00000 0.00085 0.00000 0.00000 0.00000 0.00000 0.64156 16.76991 0.01444 461.00000 16.72650 193.74870 282.47760 353.51882 416.50192 475.58308 513.15136 539.36422 623.11231 750.99114 902.64767 1247.43581 28944815.67479 260.56602 0.99912 0.99529 0.99147 0.99147 0.98767 0.98767 0.98389 0.98389 0.98012 29.90000 
-0.00000 0.00099 106.48440 0.00412 0.48179 3.12500 0.00000 54.00000 60.00000 67.00000 77.00000 92.00000 1111.71008 105.70000 141.00000 199.90000 378.80000 138643.00000 270447.00000 9804.79651 0.00000 0.00000 0.00000 0.00000 0.00000 0.00086 0.00000 0.00000 0.00000 0.00000 0.72144 17.15231 0.01512 459.00000 17.10492 193.74870 282.47760 353.51882 416.50192 475.58308 513.15136 539.36422 623.11231 750.99114 902.64767 1247.43581 29479662.77696 260.56602 0.99905 0.99505 0.99107 0.99107 0.98711 0.98711 0.98316 0.98316 0.97924 29.50000 
0.00003 0.00099 109.60940 0.00413 0.46658 3.12500 0.00012 55.00000 60.00000 67.90000 78.00000 87.00000 1129.06276 100.00000 130.80000 199.90000 328.80000 138643.00000 269846.00000 9886.22563 0.00000 0.00000 0.00000 0.00000 0.00000 0.00086 0.00000 0.00000 0.00000 0.00000 0.72144 17.13297 0.01522 456.00000 17.08933 195.74497 284.26611 356.19826 418.88220 477.71970 518.25996 545.08429 634.09939 767.49679 910.80397 1247.43581 29479662.77696 262.75164 0.99940 0.99538 0.99139 0.99139 0.98742 0.98742 0.98346 0.98346 0.97953 29.55000 
-0.00001 0.00102 112.73440 0.00425 0.45137 3.12500 0.00016 55.00000 61.00000 67.10000 78.00000 87.00000 1163.43096 100.00000 129.90000 196.60000 328.80000 141885.00000 278060.00000 9900.44221 0.00000 0.00000 0.00000 0.00000 0.00000 0.00089 0.00000 0.00000 0.00000 0.00000 0.76428 17.63342 0.01526 456.00000 17.58648 195.74497 284.26611 356.19826 418.88220 477.71970 518.25996 545.08429 634.09939 767.49679 910.80397 1247.50232 29817603.15487 262.75164 0.99899 0.99522 0.99147 0.99147 0.98774 0.98774 0.98403 0.98403 0.98033 30.35000 
0.00000 0.00101 115.85940 0.00441 0.43616 3.12500 -0.00002 55.00000 61.00000 67.10000 78.30000 89.00000 1154.78151 104.90000 129.90000 187.00000 343.90000 141885.00000 274838.00000 9900.44221 0.00000 0.00000 0.00000 0.00000 0.00000 0.00088 0.00000 0.00000 0.00000 0.00000 0.76428 17.42729 0.01522 456.00000 17.38877 195.74497 285.80902 362.73535 428.56395 486.96702 524.20103 552.78947 637.51743 767.49679 923.26078 1247.26662 29817603.15487 264.29407 0.99920 0.99541 0.99163 0.99163 0.98787 0.98787 0.98413 0.98413 0.98041 30.15000 
-0.00000 0.00101 118.98440 0.00439 0.42096 3.12500 0.00012 54.30000 61.00000 67.10000 78.60000 89.00000 1161.76371 106.00000 128.00000 187.00000 367.20000 138707.00000 275338.00000 9856.63021 0.00000 0.00000 0.00000 0.00000 0.00000 0.00088 0.00000 0.00000 0.00000 0.00000 0.75421 17.45943 0.01518 460.00000 17.41517 198.31487 288.64280 362.55895 425.93777 484.35933 524.61759 552.47313 637.89733 770.70512 923.26078 1247.26662 29722777.75914 264.29407 0.99938 0.99549 0.99163 0.99163 0.98778 0.98778 0.98396 0.98396 0.98015 29.95000 
0.00000 0.00101 122.10940 0.00451 0.40575 3.12500 0.00010 54.30000 61.00000 70.00000 78.70000 92.00000 1154.78151 106.00000 128.00000 195.70000 409.40000 138054.00000 274838.00000 9824.89075 0.00000 0.00000 0.00000 0.00000 0.00000 0.00088 0.00000 0.00000 0.00000 0.00000 0.74124 17.42729 0.01518 462.00000 17.38877 198.31487 288.64280 362.55895 425.93777 484.35933 524.61759 552.47313 637.89733 770.70512 923.26078 1246.82565 29342910.94560 264.29407 0.99861 0.99494 0.99128 0.99128 0.98763 0.98763 0.98401 0.98401 0.98039 30.40000 
0.00007 0.00101 125.23440 0.00461 0.39054 3.12500 0.00012 55.00000 60.90000 70.00000 78.60000 92.00000 1161.76371 106.00000 135.60000 210.10000 472.60000 138707.00000 275338.00000 9856.63021 0.00000 0.00000 0.00000 0.00000 0.00000 0.00088 0.00000 0.00000 0.00000 0.00000 0.75421 17.45943 0.01518 463.00000 17.41517 198.31487 288.64280 362.55895 425.93777 484.35933 524.61759 552.47313 637.89733 770.96392 926.28480 1246.82565 29342910.94560 265.71674 0.99946 0.99532 0.99121 0.99121 0.98711 0.98711 0.98304 0.98304 0.97899 29.25000 
0.00000 0.00109 128.35940 0.00472 0.37533 3.12500 0.00006 56.00000 62.10000 71.40000 81.70000 95.00000 1247.22785 109.00000 141.00000 215.20000 472.60000 146344.00000 295362.00000 10567.41269 0.00000 0.00000 0.00000 0.00000 0.00000 0.00094 0.00000 0.00000 0.00000 0.00000 0.74124 18.66158 0.01599 463.00000 18.60964 197.90378 285.76419 359.47573 423.34598 481.19131 522.59325 550.13379 636.04146 770.06694 921.88054 1247.00571 28249300.88518 266.20566 0.99881 0.99504 0.99129 0.99129 0.98757 0.98757 0.98385 0.98385 0.98016 30.30000 
