del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_10 c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_len
-0.00000 0.00010 100.00000 0.00500 0.61722 7.81250 0.00040 53.00000 58.00000 63.60000 73.00000 79.00000 119.32203 91.00000 108.00000 137.00000 190.30000 1697.00000 28198.00000 157.29784 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09291 1.70904 0.00114 410.00000 1.70773 210.31719 291.08928 343.47815 394.22947 446.04210 470.36460 500.54051 561.88784 644.20366 761.37177 1263.78586 25889397.70778 215.89586 0.99998 0.99129 0.98268 0.98268 0.97417 0.97417 0.96574 0.96574 0.95739 24.25000
0.00000 0.00010 107.81250 0.00540 0.58732 7.81250 0.00020 53.00000 58.00000 63.00000 72.50000 79.00000 119.41702 91.00000 108.00000 124.70000 190.30000 1697.00000 28160.00000 157.40423 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09337 1.70904 0.00114 410.00000 1.70773 211.67593 291.83670 347.05986 397.60182 449.12031 473.03024 501.28940 563.18786 649.77932 766.72048 1264.98804 25889397.70778 215.89586 1.00007 0.99193 0.98385 0.98385 0.97586 0.97586 0.96794 0.96794 0.96009 24.55000
0.00000 0.00010 115.62500 0.00560 0.55742 7.81250 0.00030 53.00000 58.00000 63.00000 72.50000 80.00000 119.41702 91.00000 108.70000 131.20000 190.30000 1691.00000 28160.00000 157.40423 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09638 1.70904 0.00117 405.00000 1.70773 208.77597 290.52485 343.46214 394.16808 446.04210 466.81208 497.24814 556.51139 638.44184 751.88627 1264.46502 25889397.70778 212.77205 1.00009 0.99087 0.98175 0.98175 0.97273 0.97273 0.96380 0.96380 0.95496 23.95000
0.00000 0.00010 123.43750 0.00590 0.52751 7.81250 0.00020 53.00000 58.00000 63.00000 72.50000 80.00000 119.90947 91.00000 105.00000 124.00000 189.60000 1691.00000 28186.00000 164.24989 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09894 1.70926 0.00118 405.00000 1.70869 208.52233 289.71061 343.20196 395.28073 446.76667 471.49668 500.33958 563.68396 648.81704 766.10021 1264.93569 26218963.12983 218.17215 1.00004 0.99130 0.98264 0.98264 0.97408 0.97408 0.96559 0.96559 0.95719 24.20000
0.00000 0.00010 131.25000 0.00610 0.49761 7.81250 0.00030 53.00000 57.90000 62.40000 69.00000 76.00000 119.90947 87.70000 106.00000 124.10000 189.60000 1671.00000 28411.00000 164.24989 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09638 1.72366 0.00118 409.00000 1.72280 208.16925 289.03383 342.53244 391.95791 443.97744 465.56526 495.07839 554.83369 635.82621 750.18565 1264.93569 25941247.07671 213.05069 1.00004 0.99161 0.98326 0.98326 0.97500 0.97500 0.96681 0.96681 0.95871 24.40000
0.00000 0.00010 139.06250 0.00640 0.46770 0.00000 0.00000 53.00000 57.10000 62.00000 69.00000 76.00000 119.87764 87.70000 103.60000 124.10000 182.50000 1764.00000 29138.00000 166.65859 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10190 1.75933 0.00119 409.00000 1.75882 207.70614 288.16128 341.13670 390.73368 443.03113 463.79974 494.04642 554.61989 635.80215 747.55077 1265.42589 27726833.51301 213.05069 1.00002 0.99167 0.98339 0.98339 0.97520 0.97520 0.96708 0.96708 0.95905 24.45000
0.00000 0.00010 139.06250 0.00640 0.46770 7.81250 0.00030 53.00000 57.90000 62.00000 69.50000 78.00000 119.87764 89.50000 106.00000 126.00000 192.40000 1764.00000 29420.00000 166.65859 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10452 1.77344 0.00121 409.00000 1.77276 207.70614 288.16128 341.13670 390.73368 443.03113 463.79974 494.04642 554.61989 635.80215 747.55077 1265.42589 26316100.76319 213.05069 1.00003 0.99078 0.98163 0.98163 0.97258 0.97258 0.96363 0.96363 0.95478 24.00000
0.00000 0.00011 146.87500 0.00670 0.43780 0.00000 0.00000 53.00000 57.00000 62.00000 69.50000 79.00000 126.31579 94.70000 107.00000 133.10000 185.20000 1934.00000 30343.00000 183.14377 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10457 1.85258 0.00125 410.00000 1.85213 209.60582 288.61682 342.59070 393.34176 445.22062 467.02659 497.19152 558.78960 638.38508 751.89900 1265.15831 28377469.36840 213.53311 0.99999 0.99060 0.98131 0.98131 0.97214 0.97214 0.96307 0.96307 0.95410 24.10000
-0.00000 0.00011 146.87500 0.00670 0.43780 7.81250 0.00030 53.00000 57.00000 63.00000 69.00000 79.00000 126.31579 94.70000 107.00000 133.10000 185.20000 2001.00000 30343.00000 185.65957 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10833 1.85258 0.00125 413.00000 1.85213 209.69256 291.32992 345.30851 395.61627 446.76802 470.50169 498.62419 561.86264 643.69493 757.98996 1265.15831 28377469.36840 214.88831 1.00002 0.99119 0.98245 0.98245 0.97380 0.97380 0.96524 0.96524 0.95677 24.20000
-0.00000 0.00011 154.68750 0.00700 0.40789 7.81250 0.00020 53.00000 57.00000 63.00000 69.00000 79.00000 124.58750 90.50000 107.00000 129.00000 185.20000 2001.00000 30190.00000 185.65957 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10833 1.82937 0.00124 411.00000 1.82874 209.72793 291.26566 345.30851 395.61627 447.10589 468.52488 497.87447 559.77390 639.87827 752.62234 1265.73424 28377469.36840 213.53311 1.00002 0.99099 0.98205 0.98205 0.97320 0.97320 0.96445 0.96445 0.95578 24.10000
-0.00000 0.00011 162.50000 0.00720 0.37799 7.81250 0.00020 53.00000 58.90000 63.00000 70.00000 79.50000 122.22672 90.50000 105.40000 125.20000 184.80000 1910.00000 29901.00000 183.05047 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10247 1.80496 0.00121 411.00000 1.80434 209.72793 291.26566 345.30851 395.61627 447.10589 468.52488 497.87447 559.77390 639.87827 752.62234 1265.73424 26874587.04205 213.24891 1.00002 0.99051 0.98111 0.98111 0.97181 0.97181 0.96262 0.96262 0.95354 23.95000
-0.00000 0.00010 170.31250 0.00740 0.34809 7.81250 0.00030 53.00000 58.90000 64.00000 70.50000 80.00000 123.60851 90.50000 107.00000 125.20000 184.80000 1910.00000 29048.00000 183.05047 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10247 1.76172 0.00121 400.00000 1.76132 209.14935 287.83821 340.11875 390.55029 441.27018 466.88410 494.49424 557.96194 639.87827 752.62234 1265.84655 25872364.50285 213.24891 1.00003 0.99085 0.98177 0.98177 0.97278 0.97278 0.96388 0.96388 0.95507 23.95000
0.00000 0.00010 178.12500 0.00770 0.31818 3.12500 0.00010 53.00000 58.50000 64.00000 70.00000 80.00000 122.59322 90.00000 104.40000 125.20000 184.80000 1887.00000 28932.00000 188.43739 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09940 1.74431 0.00117 400.00000 1.74374 209.14935 287.83821 340.11875 390.55029 441.27018 466.88410 494.49424 557.96194 641.31815 755.85024 1265.84655 25872364.50285 215.88766 1.00004 0.99109 0.98224 0.98224 0.97348 0.97348 0.96480 0.96480 0.95622 24.10000
0.00000 0.00010 181.25000 0.00780 0.30622 3.12500 0.00000 53.00000 57.70000 64.00000 69.00000 79.00000 123.01245 90.00000 102.40000 125.30000 186.50000 1887.00000 29048.00000 188.43739 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09741 1.76172 0.00119 403.00000 1.76132 209.58891 291.34489 344.07493 394.04865 446.51000 471.99453 500.78019 562.40632 643.23453 761.11381 1266.10889 26176816.38403 216.27697 1.00017 0.99282 0.98553 0.98553 0.97830 0.97830 0.97114 0.97114 0.96403 25.05000
0.00000 0.00010 184.37500 0.00780 0.29426 3.12500 0.00020 53.00000 57.10000 62.00000 69.00000 78.00000 122.59322 89.00000 102.40000 126.60000 186.50000 1887.00000 29048.00000 187.26771 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09741 1.75449 0.00118 403.00000 1.75398 209.58891 291.34489 344.88106 394.32950 446.87644 471.99453 500.78019 562.40632 643.23453 761.11381 1266.77342 26443545.02155 216.27697 1.00004 0.99091 0.98188 0.98188 0.97294 0.97294 0.96410 0.96410 0.95536 24.10000
-0.00000 0.00010 187.50000 0.00800 0.28230 3.12500 0.00000 53.00000 57.10000 62.00000 69.00000 78.00000 123.01245 90.00000 108.00000 127.00000 193.60000 1710.00000 29048.00000 180.57914 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09809 1.75449 0.00118 402.00000 1.75398 208.93738 291.56783 346.27275 395.86953 448.43255 470.57321 499.17597 561.54000 642.87410 759.42410 1267.01053 26443545.02155 216.01886 0.99999 0.98979 0.97970 0.97970 0.96973 0.96973 0.95987 0.95987 0.95012 23.55000
-0.00000 0.00010 190.62500 0.00800 0.27033 3.12500 0.00030 53.00000 57.10000 62.30000 70.00000 79.50000 122.05042 90.10000 108.00000 127.00000 185.10000 1833.00000 28921.00000 180.57914 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.10065 1.73765 0.00117 398.00000 1.73686 208.93738 291.26846 344.88106 394.32950 446.87644 468.80731 498.93671 560.44397 640.41355 755.22459 1266.77342 25812146.56219 215.19581 0.99999 0.98895 0.97804 0.97804 0.96728 0.96728 0.95665 0.95665 0.94616 23.35000
-0.00000 0.00010 193.75000 0.00830 0.25837 3.12500 -0.00010 53.00000 57.00000 62.30000 70.00000 79.50000 121.23305 92.70000 105.00000 128.10000 192.80000 1747.00000 28611.00000 169.17838 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09985 1.72997 0.00117 398.00000 1.72929 208.68539 291.16946 343.47941 391.96797 443.37431 465.41916 496.15677 556.26732 634.55378 746.84471 1265.89554 25812146.56219 212.62646 1.00001 0.98952 0.97916 0.97916 0.96892 0.96892 0.95880 0.95880 0.94880 23.45000
0.00000 0.00010 196.87500 0.00820 0.24641 3.12500 0.00020 53.00000 57.00000 62.30000 70.00000 79.50000 121.23305 92.00000 105.00000 125.40000 188.40000 1747.00000 28427.00000 176.04012 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09985 1.72485 0.00116 398.00000 1.72468 209.09360 291.16946 343.47941 391.96797 443.37431 465.41916 496.15677 556.26732 634.55378 746.84471 1265.89554 25812146.56219 212.62646 1.00012 0.99153 0.98302 0.98302 0.97459 0.97459 0.96624 0.96624 0.95796 24.20000
-0.00000 0.00010 200.00000 0.00840 0.23445 3.12500 0.00020 52.00000 57.00000 63.00000 72.00000 80.00000 122.27660 92.00000 108.00000 128.10000 188.40000 1747.00000 28427.00000 176.04012 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09985 1.72485 0.00116 399.00000 1.72468 209.24806 289.09070 343.31095 393.65711 444.82432 468.67508 497.21545 561.44455 644.64686 755.42862 1265.99416 25772442.92243 215.10087 1.00002 0.99006 0.98021 0.98021 0.97047 0.97047 0.96084 0.96084 0.95132 23.65000
