del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_100 c_len
0.00000 0.00094 78.12550 0.00400 0.53308 7.81250 0.00030 54.00000 61.00000 69.00000 79.00000 96.00000 450.63977 120.00000 157.00000 229.00000 403.00000 113842.00000 312914.00000 4541.62091 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.63279 18.61504 0.01165 1019.00000 18.51320 220.26558 299.40127 364.98292 425.45059 491.13457 530.27465 565.55525 652.96893 768.11008 906.48209 1325.02298 255767373.94011 257.47075 0.99969 0.99536 0.99106 0.99106 0.98679 0.98679 0.98255 0.98255 0.97834 31.10000 
0.00000 0.00094 85.93800 0.00430 0.48639 7.81250 0.00030 54.00000 61.00000 69.00000 80.00000 96.00000 450.63977 120.00000 157.00000 231.00000 406.30000 113842.00000 313251.00000 4541.62091 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.62546 18.62033 0.01165 1020.00000 18.51735 219.85807 299.24980 364.42301 425.45059 491.13457 530.27465 565.88206 654.24170 768.35058 906.48209 1325.02298 255767373.94011 257.70250 0.99972 0.99554 0.99139 0.99139 0.98727 0.98727 0.98317 0.98317 0.97910 31.30000 
0.00000 0.00094 93.75050 0.00460 0.43970 7.81250 0.00030 54.00000 61.00000 69.00000 80.00000 95.00000 450.72086 120.00000 157.00000 235.80000 406.30000 114081.00000 314099.00000 4557.00827 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.62546 18.68025 0.01166 1039.00000 18.58375 219.85807 299.24980 364.42301 425.45059 491.44943 530.27465 566.33054 654.55252 769.01296 906.48209 1324.68885 258871683.62923 257.70250 0.99963 0.99546 0.99132 0.99132 0.98720 0.98720 0.98311 0.98311 0.97905 31.10000 
0.00000 0.00094 101.56300 0.00490 0.39300 7.81250 0.00030 54.00000 61.00000 69.00000 80.70000 95.00000 451.73782 120.00000 159.20000 235.80000 408.70000 114081.00000 315313.00000 4549.48666 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.62546 18.76530 0.01165 1039.00000 18.67131 219.01733 298.36629 364.38028 425.84576 492.61541 531.57985 568.19594 656.78643 771.25617 909.64555 1324.68885 258871683.62923 258.31949 0.99968 0.99553 0.99141 0.99141 0.98731 0.98731 0.98324 0.98324 0.97919 31.15000 
0.00000 0.00095 109.37550 0.00520 0.34631 7.81250 0.00040 54.60000 61.00000 69.00000 81.90000 96.00000 451.73782 120.00000 159.20000 234.40000 408.70000 114129.00000 316226.00000 4549.48666 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.62085 18.79808 0.01165 1036.00000 18.70090 219.62913 299.16195 365.08714 427.14454 493.39676 532.10378 568.19743 657.39631 771.82868 909.69507 1327.99741 258871683.62923 258.98201 0.99965 0.99546 0.99129 0.99129 0.98715 0.98715 0.98303 0.98303 0.97895 31.30000 
0.00000 0.00095 117.18800 0.00560 0.29962 7.81250 0.00010 55.00000 61.30000 70.00000 81.90000 97.00000 450.93909 123.00000 160.70000 234.40000 407.60000 114075.00000 317018.00000 4527.39242 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.62085 18.84820 0.01164 1036.00000 18.74681 219.62913 299.16195 364.38028 425.84576 492.61541 531.57985 568.19743 657.39631 771.82868 909.69507 1327.99741 263288388.10212 258.98201 0.99956 0.99543 0.99133 0.99133 0.98725 0.98725 0.98320 0.98320 0.97917 31.35000 
0.00000 0.00095 125.00050 0.00570 0.25293 7.81250 0.00020 55.00000 62.00000 70.00000 81.90000 97.00000 450.93909 122.00000 160.70000 235.30000 407.60000 114075.00000 318363.00000 4510.20141 0.00000 0.00000 0.00000 0.00000 0.00000 0.00080 0.00000 0.00000 0.00000 0.00000 0.62705 18.94060 0.01163 1041.00000 18.83836 219.62913 299.16195 364.13803 424.92487 490.81033 529.48808 565.43184 653.23316 767.32758 904.74275 1327.78216 263542102.22550 257.43552 0.99972 0.99558 0.99146 0.99146 0.98737 0.98737 0.98331 0.98331 0.97928 31.45000 
0.00000 0.00095 132.81300 0.00590 0.20624 7.81250 0.00020 55.00000 62.00000 70.00000 80.00000 97.00000 450.93909 122.00000 161.00000 238.00000 411.50000 113252.00000 318615.00000 4495.45278 0.00000 0.00000 0.00000 0.00000 0.00000 0.00080 0.00000 0.00000 0.00000 0.00000 0.63763 18.95801 0.01160 1044.00000 18.85327 219.27342 298.14264 363.60951 424.83443 490.36473 529.48808 565.39020 653.23316 767.32758 904.74275 1327.64863 263542102.22550 257.43552 0.99959 0.99558 0.99159 0.99159 0.98763 0.98763 0.98370 0.98370 0.97978 31.40000 
0.00000 0.00096 140.62550 0.00610 0.15955 7.81250 0.00030 55.00000 62.00000 71.00000 82.00000 98.00000 451.29603 122.00000 161.50000 238.00000 429.70000 112946.00000 319951.00000 4487.95745 0.00000 0.00000 0.00000 0.00000 0.00000 0.00080 0.00000 0.00000 0.00000 0.00000 0.64184 19.06293 0.01156 1041.00000 18.95665 218.16668 296.78946 362.23812 424.06195 490.31612 529.48808 565.39020 653.23316 767.32758 904.74275 1327.45624 263542102.22550 257.43552 0.99973 0.99564 0.99158 0.99158 0.98755 0.98755 0.98354 0.98354 0.97956 31.60000 
0.00001 0.00096 148.43800 0.00640 0.11285 7.81250 0.00030 55.00000 61.00000 70.30000 80.90000 96.00000 444.44167 121.10000 163.00000 238.00000 411.50000 112946.00000 319998.00000 4442.57438 0.00000 0.00000 0.00000 0.00000 0.00000 0.00080 0.00000 0.00000 0.00000 0.00000 0.65299 19.06412 0.01156 1057.00000 18.95687 218.16668 296.78946 362.23812 424.06195 490.23883 527.50184 562.92944 649.88048 762.85414 902.07231 1327.28805 274184543.18247 256.75358 0.99965 0.99553 0.99143 0.99143 0.98736 0.98736 0.98332 0.98332 0.97931 31.75000 
0.00009 0.00096 156.25050 0.00670 0.06616 7.81250 0.00040 55.00000 61.00000 70.30000 82.00000 99.50000 437.90353 125.50000 163.00000 239.50000 434.00000 112986.00000 322297.00000 4396.56168 0.00000 0.00000 0.00000 0.00000 0.00000 0.00081 0.00000 0.00000 0.00000 0.00000 0.66466 19.22337 0.01157 1075.00000 19.11254 218.16668 296.78946 362.23812 423.72385 488.85957 527.46193 562.76553 648.82471 761.33211 899.22603 1327.16421 285335807.85899 255.31838 0.99976 0.99566 0.99159 0.99159 0.98755 0.98755 0.98353 0.98353 0.97954 31.95000 
0.00024 0.00105 164.06300 0.00710 0.01947 0.00000 0.00030 55.00000 61.00000 70.30000 83.00000 99.50000 437.90353 127.00000 168.00000 244.00000 456.70000 113506.00000 351469.00000 4167.88776 0.00000 0.00000 0.00000 0.00000 0.00000 0.00088 0.00000 0.00000 0.00000 0.00000 0.68918 21.03471 0.01167 1238.00000 20.87955 217.14351 295.55510 360.89888 421.03707 484.29083 521.17275 555.76545 640.04553 750.08777 887.67463 1326.77145 356876169.67170 251.94872 0.99983 0.99565 0.99150 0.99150 0.98738 0.98738 0.98329 0.98329 0.97923 32.15000 
0.00311 0.00129 164.06300 0.00740 0.01947 3.12500 0.00140 56.20000 63.00000 73.00000 87.00000 104.00000 465.24649 137.00000 181.00000 268.50000 541.00000 114299.00000 430353.00000 4167.88776 0.00000 0.00000 0.00000 0.00000 0.00000 0.00109 0.00000 0.00000 0.00000 0.00000 0.68935 26.04079 0.01198 1499.00000 25.80536 208.84932 284.98163 348.87364 405.80336 465.18366 502.48557 533.15908 613.31670 718.36175 859.62598 1326.57473 429474414.85823 245.09334 0.99994 0.99563 0.99134 0.99134 0.98709 0.98709 0.98286 0.98286 0.97867 32.05000 
