del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_100 c_len
0.00001 0.00135 23.44500 0.00143 0.89091 7.81250 0.00077 54.00000 62.00000 73.00000 84.00000 104.00000 247.63805 128.00000 174.00000 255.00000 445.00000 19819.00000 478785.00000 843.84329 0.00000 0.00000 0.00000 0.00000 0.00000 0.00111 0.00000 0.00000 0.00000 0.00125 0.41801 28.69117 0.00740 2554.00000 28.24761 235.01754 315.86255 381.20088 440.96970 502.06923 537.70932 568.26216 651.58100 760.23866 906.30024 1337.94074 1942152303.83629 251.12956 1.00006 0.99452 0.98902 0.98902 0.98357 0.98357 0.97816 0.97816 0.97281 28.05000 
0.00001 0.00136 31.25750 0.00219 0.85456 7.81250 0.00045 55.00000 62.00000 73.00000 85.00000 104.00000 247.63805 130.00000 174.00000 255.00000 445.00000 19819.00000 481656.00000 843.84329 0.00000 0.00000 0.00000 0.00000 0.00000 0.00111 0.00000 0.00000 0.00000 0.00131 0.42888 28.84980 0.00740 2573.00000 28.37198 235.41757 316.18580 381.93321 441.82384 503.01873 537.85560 569.05652 652.56802 761.21049 906.30024 1337.94074 2038171342.51142 251.12956 1.00005 0.99455 0.98909 0.98909 0.98367 0.98367 0.97830 0.97830 0.97298 28.05000 
0.00000 0.00137 39.07000 0.00264 0.81821 7.81250 0.00066 55.00000 62.00000 72.00000 85.00000 104.00000 245.08291 130.00000 170.00000 251.10000 430.00000 19023.00000 484774.00000 815.35284 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00137 0.42888 29.00085 0.00735 2588.00000 28.49414 235.66206 316.30411 381.93532 441.96900 503.07829 538.13080 569.26332 652.86360 761.85034 905.32510 1337.41543 2103287555.57425 250.25456 1.00005 0.99441 0.98882 0.98882 0.98328 0.98328 0.97779 0.97779 0.97235 27.95000 
0.00000 0.00137 46.88250 0.00330 0.78186 7.81250 0.00053 55.00000 62.00000 72.00000 85.00000 104.50000 245.08291 130.00000 170.00000 251.10000 426.00000 18237.00000 485724.00000 815.09192 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00137 0.42808 29.04791 0.00731 2591.00000 28.53158 235.41757 316.18580 381.93321 441.82384 503.01873 537.85560 569.05652 652.56802 761.21049 904.38936 1337.41543 2103287555.57425 250.16507 1.00005 0.99417 0.98833 0.98833 0.98256 0.98256 0.97683 0.97683 0.97116 27.70000 
0.00000 0.00137 54.69500 0.00382 0.74551 7.81250 0.00053 56.00000 64.00000 73.00000 86.00000 104.50000 245.06761 130.00000 170.00000 251.10000 428.20000 17297.00000 486581.00000 797.81136 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00137 0.41557 29.04791 0.00727 2591.00000 28.53158 235.20934 316.18585 381.93532 441.99312 503.07829 538.13080 569.26332 652.86360 761.85034 905.32510 1337.03149 2112885563.11231 250.25456 1.00005 0.99407 0.98815 0.98815 0.98228 0.98228 0.97647 0.97647 0.97071 27.40000 
-0.00000 0.00138 62.50750 0.00436 0.70916 7.81250 0.00043 56.00000 64.00000 74.00000 86.00000 105.00000 244.14650 131.00000 173.50000 254.50000 425.50000 16556.00000 488293.00000 787.61742 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00137 0.41193 29.07778 0.00724 2591.00000 28.57783 235.20934 316.18585 382.34307 442.68655 504.08988 538.67995 570.76570 654.26112 762.42603 905.38066 1334.04011 2160109843.82471 250.52586 1.00005 0.99377 0.98755 0.98755 0.98139 0.98139 0.97529 0.97529 0.96925 27.00000 
0.00000 0.00137 70.32000 0.00479 0.67281 7.81250 0.00041 56.00000 64.00000 73.00000 86.00000 104.00000 242.92611 129.00000 169.00000 250.80000 428.20000 15874.00000 486682.00000 781.06771 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00137 0.40112 28.98885 0.00723 2590.00000 28.46746 236.07453 316.66025 382.34307 442.68655 504.08988 538.67995 570.76570 654.26112 762.42603 905.38066 1334.04011 2160109843.82471 250.52586 1.00005 0.99378 0.98757 0.98757 0.98143 0.98143 0.97533 0.97533 0.96930 26.95000 
-0.00000 0.00137 78.13250 0.00520 0.63646 7.81250 0.00050 56.00000 64.00000 73.00000 86.00000 105.00000 243.97641 131.00000 172.00000 254.50000 434.00000 15498.00000 486682.00000 774.30217 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00142 0.39969 28.96234 0.00722 2594.00000 28.45409 236.07453 316.66025 382.35612 442.13710 502.63754 537.45545 568.15336 650.34589 758.65736 904.40614 1339.29796 2158286774.43418 249.86900 1.00004 0.99388 0.98777 0.98777 0.98173 0.98173 0.97574 0.97574 0.96981 27.30000 
-0.00000 0.00137 85.94500 0.00570 0.60011 7.81250 0.00016 56.00000 64.00000 73.00000 86.00000 104.00000 242.49228 129.00000 169.00000 250.10000 434.00000 14964.00000 486001.00000 769.91445 0.00000 0.00000 0.00000 0.00000 0.00000 0.00112 0.00000 0.00000 0.00000 0.00142 0.39446 28.91278 0.00720 2594.00000 28.40510 235.66005 316.43342 382.18644 441.77048 502.02213 536.08153 566.92466 648.27158 755.36465 899.97384 1339.69109 2153834559.21188 248.86026 1.00004 0.99356 0.98714 0.98714 0.98078 0.98078 0.97448 0.97448 0.96825 26.70000 
0.00000 0.00137 93.75750 0.00586 0.56376 7.81250 0.00062 56.00000 64.00000 73.00000 85.00000 104.00000 241.96959 130.00000 169.00000 249.00000 425.90000 14549.00000 485956.00000 765.43260 0.00000 0.00000 0.00000 0.00000 0.00000 0.00111 0.00000 0.00000 0.00000 0.00142 0.39139 28.88023 0.00718 2600.00000 28.36226 235.66005 316.43342 382.35612 442.13710 502.63754 537.45545 568.15336 650.34589 758.65736 904.40614 1339.29796 2153834559.21188 249.86900 1.00007 0.99371 0.98742 0.98742 0.98119 0.98119 0.97502 0.97502 0.96890 26.80000 
